longitude,latitude,nilai_asli,nilai_prediksi
109.342974,-7.384637,1,1.0247658370040689
109.373893,-7.392432,1,1.0054164370658916
109.353672,-7.383764,1,1.0255190266583378
109.353447,-7.387953,1,1.0270825924134002
109.36769,-7.404139,1,1.025257932725612
109.495721,-7.298267,1,1.027126742449418
109.412448,-7.426072,1,1.0233512957654052
109.423067,-7.338198,1,1.027126742449418
109.393294,-7.446981,1,1.027126742449418
109.35963,-7.387364,1,1.0235270547542594
109.314908,-7.382075,1,1.0032914461996134
109.414356,-7.378048,1,1.027126742449418
109.311288,-7.267833,1,1.027126742449418
109.467644,-7.27381,1,1.0271261550202238
109.32912,-7.338344,1,1.025565924550117
109.377111,-7.417566,1,1.0067476409201406
109.354623,-7.34417,1,1.027126742449418
109.341539,-7.330646,1,1.0039380095111086
109.367861,-7.396039,1,1.018302232156834
109.467927,-7.32035,1,1.027126742449418
109.389467,-7.315202,1,1.024253671308494
109.379917,-7.387182,1,1.0030472612837684
109.347186,-7.254703,1,1.027126742449418
109.336488,-7.361831,1,1.4509489762145777
109.367405,-7.410134,1,1.0229177883565237
109.380766,-7.376747,2,1.0222696699387115
109.323127,-7.402395,1,1.0214996732215031
109.32764,-7.313121,1,1.009003888899036
109.469542,-7.266561,1,1.027126742449418
109.387433,-7.401037,1,1.0077193722795341
109.458019,-7.440669,1,1.0228141256268641
109.298284,-7.280926,1,1.027126742449418
109.369529,-7.467876,1,1.027126742449418
109.361629,-7.387416,1,1.0208133631748044
109.359067,-7.33368,1,1.027126742449418
109.429447,-7.392392,1,1.027126742449418
109.313265,-7.373783,1,1.0089393810987861
109.436003,-7.403158,1,1.027126742449418
109.36675,-7.351655,1,1.027126742449418
